Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry,Last Update
ORM,"Owens Realty Mortgage, Inc.",17.52,179527440,2013,Consumer Services,Real Estate Investment Trusts,4/25/17
PHF,"Pacholder High Yield Fund, Inc.",7.845,101958405.5,n/a,n/a,n/a,4/26/17
PCG^A,Pacific Gas & Electric Co.,32.39,0,n/a,n/a,n/a,4/24/17
PCG^B,Pacific Gas & Electric Co.,29.4,0,n/a,n/a,n/a,4/26/17
PCG^C,Pacific Gas & Electric Co.,27.7,0,n/a,n/a,n/a,4/25/17
PCG^D,Pacific Gas & Electric Co.,26.18,0,n/a,n/a,n/a,4/26/17
PCG^E,Pacific Gas & Electric Co.,26.5,0,n/a,n/a,n/a,4/24/17
PCG^G,Pacific Gas & Electric Co.,25.25,0,n/a,n/a,n/a,4/26/17
PCG^H,Pacific Gas & Electric Co.,24.8,0,n/a,n/a,n/a,4/25/17
PCG^I,Pacific Gas & Electric Co.,24.75,0,n/a,n/a,n/a,4/26/17
PTN,"Palatin Technologies, Inc.",0.31,42763595.42,n/a,Health Care,Major Pharmaceuticals,4/26/17
PARR,"Par Pacific Holdings, Inc.",16.38,750221968.9,n/a,Energy,Oil & Gas Production,4/26/17
PZG,Paramount Gold Nevada Corp.,1.8,32003917.2,2015,Basic Industries,Precious Metals,4/25/17
TEUM,Pareteum Corporation,0.6499,8296689.69,n/a,Technology,EDP Services,4/26/17
PRK,Park National Corporation,98.4,1504605766,n/a,Finance,Major Banks,4/26/17
PED,Pedevco Corp.,1.1,6042423.2,n/a,Energy,Oil & Gas Production,4/25/17
PFNX,Pfenex Inc.,4.48,105026217,2014,Health Care,Major Pharmaceuticals,4/23/17
PIP,"PharmAthene, Inc",0.7777,53517577.15,n/a,Health Care,Major Pharmaceuticals,4/23/17
HNW,Pioneer Diversified High Income Trust,16.5,137491035,2007,n/a,n/a,4/24/17
PLG,Platinum Group Metals Ltd.,1.53,203591266.1,n/a,Basic Industries,Precious Metals,4/26/17
PLM,Polymet Mining Corp.,0.7499,238877284.7,n/a,Basic Industries,Precious Metals,4/25/17
PW,Power REIT,6.9207,12353020.42,n/a,Consumer Services,Real Estate Investment Trusts,4/25/17
PW^A,Power REIT,25.7,0,n/a,n/a,n/a,4/23/17
PLX,"Protalix BioTherapeutics, Inc.",1.05,130340789.3,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/24/17
RLGT,"Radiant Logistics, Inc.",5.44,265489674.6,n/a,Transportation,Oil Refining/Marketing,4/24/17
RLGT^A,"Radiant Logistics, Inc.",26.5008,0,n/a,n/a,n/a,4/26/17
UTG,Reaves Utility Income Fund,33.77,1159106993,2004,n/a,n/a,4/26/17
REED,"Reeds, Inc.",4.3,60087021.8,n/a,Consumer Non-Durables,Beverages (Production/Distribution),4/26/17
RWC,RELM Wireless Corporation,5.175,71180826.08,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,4/25/17
RCG,"RENN Fund, Inc.",1.35,6026355.45,n/a,n/a,n/a,4/26/17
RVP,"Retractable Technologies, Inc.",0.9701,30719627.03,n/a,Health Care,Medical/Dental Instruments,4/25/17
RNN,"Rexahn Pharmaceuticals, Inc.",0.455,108036922.2,n/a,Health Care,Major Pharmaceuticals,4/26/17
REI,"Ring Energy, Inc.",11.77,578101840.6,n/a,Energy,Oil & Gas Production,4/23/17
RIF,RMR Real Estate Income Fund,21.333,163229598.8,n/a,n/a,n/a,4/23/17
SACH,Sachem Capital Corp.,5.2874,58865877.31,2017,Consumer Services,Real Estate Investment Trusts,4/26/17
SGA,"Saga Communications, Inc.",50.45,297161195.4,n/a,Consumer Services,Broadcasting,4/25/17
SSN,Samson Oil & Gas Limited,0.58,9520294.58,n/a,Energy,Oil & Gas Production,4/26/17
SPP,Sanchez Production Partners LP,14.5,205219384.5,n/a,Energy,Oil & Gas Production,4/23/17
SAND          ,Sandstorm Gold Ltd,4.49,682276221.4,n/a,Basic Industries,Precious Metals,4/23/17
SEB,Seaboard Corporation,3933,4603773150,1996,Finance,Investment Bankers/Brokers/Service,4/23/17
SENS,"Senseonics Holdings, Inc.",1.66,155966174.8,n/a,Capital Goods,Industrial Machinery/Components,4/25/17
SVT,"Servotronics, Inc.",10.542,25663961.36,n/a,Capital Goods,Industrial Machinery/Components,4/24/17
SIF,"SIFCO Industries, Inc.",7.15,39529725.95,n/a,Capital Goods,Aerospace,4/23/17
SKY,Skyline Corporation,8.45,70906011.8,n/a,Basic Industries,Homebuilding,4/23/17
XPL,Solitario Exploration & Royalty Corp,0.84,32509838.76,n/a,Basic Industries,Precious Metals,4/23/17
SCE^B,Southern California Edison Company,24.33,0,n/a,n/a,n/a,4/24/17
SCE^C,Southern California Edison Company,24.23,0,n/a,n/a,n/a,4/23/17
SCE^D,Southern California Edison Company,24.8686,0,n/a,n/a,n/a,4/25/17
SCE^E,Southern California Edison Company,25.19,0,n/a,n/a,n/a,4/24/17
SGB,Southwest Georgia Financial Corporation,21.5,54769895.5,n/a,Finance,Major Banks,4/25/17
LOV,"Spark Networks, Inc.",0.98,31361025.08,n/a,Miscellaneous,Business Services,4/24/17
SRCI,SRC Energy Inc.,8.48,1701715545,n/a,n/a,n/a,4/24/17
SGY.WS,Stone Energy Corporation,n/a,0,n/a,n/a,n/a,4/24/17
STRP,Straight Path Communications Inc.,91.7,1145196550,2013,Public Utilities,Telecommunications Equipment,4/23/17
SSY,"SunLink Health Systems, Inc.",1.53,14448414.24,n/a,Health Care,Hospital/Nursing Management,4/23/17
SDPI,"Superior Drilling Products, Inc.",0.83,20083632.84,2014,Energy,Metal Fabrications,4/25/17
STS,"Supreme Industries, Inc.",19.96,340986660,n/a,Capital Goods,Construction/Ag Equipment/Trucks,4/23/17
SYN,"Synthetic Biologics, Inc",0.5,58770989,n/a,Health Care,Major Pharmaceuticals,4/26/17
TKAT,"Takung Art Co., Ltd.",7.5,83916615,n/a,Consumer Services,Other Specialty Stores,4/26/17
TRX,Tanzanian Royalty Exploration Corporation,0.5198,61169923.65,n/a,Basic Industries,Precious Metals,4/23/17
TGB,Taseko Mines Limited,1.15,257456408.7,n/a,Basic Industries,Precious Metals,4/25/17
TIK,Tel-Instrument Electronics Corp.,4.9,15953846.3,n/a,Capital Goods,Electrical Products,4/25/17
TGC,"Tengasco, Inc.",0.84,8905415.4,n/a,Energy,Oil & Gas Production,4/25/17
GLU,The Gabelli Global Utility and Income Trust,18.52,76141220.44,2004,n/a,n/a,4/24/17
GLU^A,The Gabelli Global Utility and Income Trust,51.04,0,n/a,n/a,n/a,4/25/17
GGO,The Gabelli Go Anywhere Trust,18,28984176,2016,n/a,n/a,4/25/17
GGO^A,The Gabelli Go Anywhere Trust,45.98,0,n/a,n/a,n/a,4/24/17
TXMD,"TherapeuticsMD, Inc.",5.51,1088356827,n/a,Health Care,Major Pharmaceuticals,4/25/17
TGD,Timmons Gold Corp,0.43,152920298.9,2011,Basic Industries,Precious Metals,4/25/17
TMP,Tompkins Financial Corporation,78.79,1201989591,n/a,Finance,Major Banks,4/26/17
TAT,Transatlantic Petroleum Ltd,1.48,70022101.88,n/a,Energy,Oil & Gas Production,4/24/17
TRXC,"TransEnterix, Inc.",1.13,138677258.9,n/a,Health Care,Medical/Dental Instruments,4/23/17
TMQ,Trilogy Metals Inc.,0.7299,77019238.5,n/a,Basic Industries,Precious Metals,4/24/17
TPHS,Trinity Place Holdings Inc.,7.08,221094275.4,n/a,Consumer Services,Building operators,4/23/17
TRT,Trio-Tech International,4.18,14684569.9,n/a,Technology,Industrial Machinery/Components,4/26/17
HTM,U.S. Geothermal Inc.,4.13,78540858.41,n/a,Public Utilities,Electric Utilities: Central,4/24/17
UFAB,"Unique Fabricating, Inc.",11.03,107390616.9,2015,Capital Goods,Auto Parts:O.E.M.,4/26/17
UAMY,United States Antimony Corporation,0.45,30369668.85,n/a,Capital Goods,Metal Fabrications,4/24/17
UUU,"Universal Security Instruments, Inc.",3.05,7054305.35,n/a,Consumer Non-Durables,Electronic Components,4/24/17
UQM,UQM TECHNOLOGIES INC,0.48,23298500.16,n/a,Capital Goods,Industrial Machinery/Components,4/24/17
URG,Ur Energy Inc,0.659,95961139.72,n/a,Basic Industries,Precious Metals,4/24/17
UEC,Uranium Energy Corp.,1.44,198305877.6,n/a,Basic Industries,Precious Metals,4/26/17
VSR,"Versar, Inc.",1.27,12637716.66,1986,Consumer Services,Military/Government/Technical,4/24/17
VII,"Vicon Industries, Inc.",0.4312,4031024.906,n/a,Consumer Durables,Telecommunications Equipment,4/24/17
VHC,VirnetX Holding Corp,2.15,125011509.2,n/a,Miscellaneous,Multi-Sector Companies,4/26/17
VGZ,Vista Gold Corporation,1.09,106587402.7,n/a,Basic Industries,Precious Metals,4/25/17
VNRX,VolitionRX Limited,3.97,103728354.5,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,4/26/17
VISI,"Volt Information Sciences, Inc.",6,125506800,n/a,Technology,Professional Services,4/23/17
EAD,Wells Fargo Income Opportunities Fund,8.48,601283982.4,2003,n/a,n/a,4/26/17
ERC,Wells Fargo Multi-Sector Income Fund,13.33,548703669.8,2003,n/a,n/a,4/25/17
ERH,Wells Fargo Utilities and High Income Fund,12.96,119768310.7,2004,n/a,n/a,4/23/17
SBI,Western Asset Intermediate Muni Fund Inc,9.9,139414918.5,1992,n/a,n/a,4/25/17
WRN,Western Copper and Gold Corporation,1.28,121715970.6,2011,Basic Industries,Precious Metals,4/23/17
WYY,WidePoint Corporation,0.435,36024230.07,n/a,Technology,EDP Services,4/26/17
WTT,"Wireless Telecom Group,  Inc.",1.52,33803088.48,n/a,Capital Goods,Electrical Products,4/25/17
XTNT,"Xtant Medical Holdings, Inc.",0.53,9589079.59,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/26/17
YUMA,"Yuma Energy, Inc.",2.615,31905615,n/a,Energy,Oil & Gas Production,4/24/17
ZDGE,"Zedge, Inc.",3.04,29318179.52,2016,Technology,Computer Software: Prepackaged Software,4/26/17
